"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2013-14","Spring","CS","4994","Undergraduate Research","Kafura","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12259","  3"
"2013-14","Spring","CS","4994","Undergraduate Research","Ribbens","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12259","  3"
"2013-14","Spring","CS","5424","Computational Cell Biology","Palmisano","3.37","16.7","0","66.7","16.7","0","0","0","0","0","0","0","0","0","6","12264","  3"
"2013-14","Spring","CS","4414","Issues in Scientific Computing","Wapperom","1.78","16.7","16.7","0","16.7","0","0","0","0","0","0","0","50","0","6","19883","  3"
"2014-15","Fall","CS","2974","Independent Study","Lee","3.83","83.3","0","0","16.7","0","0","0","0","0","0","0","0","0","6","82146","  3"
"2014-15","Fall","CS","2974","Independent Study","McQuain","3.83","83.3","0","0","16.7","0","0","0","0","0","0","0","0","0","6","82146","  3"
"2014-15","Fall","CS","2974","Independent Study","Monti","3.83","83.3","0","0","16.7","0","0","0","0","0","0","0","0","0","6","82146","  3"
"2014-15","Fall","CS","2974","Independent Study","Perez-Quinonez","3.83","83.3","0","0","16.7","0","0","0","0","0","0","0","0","0","6","82146","  3"
"2014-15","Fall","CS","6304","TS:Adv Compilers & Comp Arch","Jung","3.55","16.7","33.3","50","0","0","0","0","0","0","0","0","0","0","6","88573","  3"
"2014-15","Spring","CS","5046","Computation for Life Sciences","Zhang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12314","  3"
"2015-16","Spring","CS","4994","Undergraduate Research","Arthur","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12549","  3"
"2015-16","Spring","CS","4994","Undergraduate Research","Murali","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12549","  3"
"2015-16","Spring","CS","4994","Undergraduate Research","Ribbens","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12549","  3"
"2015-16","Spring","CS","4884","Comp Bio & Bioinfo Capstone","Heath","3.88","83.3","0","16.7","0","0","0","0","0","0","0","0","0","0","6","19513","  3"
"2015-16","Spring","CS","5566","Network Arch and Protocols","Yang","3.67","50","16.7","16.7","16.7","0","0","0","0","0","0","0","0","0","6","19788","  3"
